text,emotion
i ve been feeling a bit cranky with the kids this week cranky baby whiny year old demanding preschooler so i wanted to stop and remember how blessed i really am,anger
i feel frustrated sometimes with my mac lipsticks when i have to read names or open each of them to select shade,anger
i feeling stressed,anger
im feeling less annoyed with him,anger
i feel more irritable and i feel more sensible now than ever,anger
i feel like a tortured artist when i talk to her,anger
i feel like im the mad hatter rather than alice,anger
i just cant help but feel extremely jealous of them because theyve been together for a year and half and luke and i have been together for and a half and i have nothing,anger
i got the feeling she hated that that i would not admit it let it in i know ive hated every single obstacle that kept it from her every single leaden block that kept being placed in our once clear path to one anothers arms,anger
i took a minute to appreciate the trees around me and the calming energy that they gave me at a time when i was feeling a little bit irritable,anger
i can feel the frantic beat of his heart but cookie s voice is surprisingly clear,fear
i feel a little suspicious,fear
i can t help but feeling weird when opening every closet in an apartment that somebody s still living in so i didn t,fear
i guess being the good friend that he is he can not and will not allow me to go on with life feeling so distressed and confused,fear
i need to do after much prayer considering things like this but i still always feel a little reluctant to act but i do anyway,fear
i pictured a twin set of copper pipes running through me somewhere and while i was cool when i contemplated the one that flowed outward it made me feel weird to think about the other one,fear
i feel a strange sense of foreboding,fear
i often fought feelings of hopelessness because of our seemingly helpless financial situation,fear
i feel uncomfortable when i need to sit through a bad presentations,fear
i feel a bit frightened that you are touching my car while i am away repeatedly i ask you to stop putting stuff on it,fear
i feel im rather innocent in that respect,joy
im feeling quite adventurous and tried out those drinks that i just normally read through the pages of pocketbooks,joy
im feeling much more positive about the impending move,joy
i feel like i spend most of my time over thinking and over analyzing pretty much everything,joy
i suspect those might also be factors in making him not feel rich,joy
im starting to feel wryly amused at the banal comedy of errors my life is turning into,joy
ive never behaved like that in front of my husband and i feel a mixture of shame and relief that only the shedding of many tears and saying truthful but hurtful things can bring on,joy
i feel peaceful and not particularly stressed about anything,joy
i spent a few hours listening to the thundershowers and feeling that gorgeous cool summer storm air across my ginormous pregnant self,joy
i was tired sore and didnt really feel like makin the mile trip to church i was ecstatic to be there and enjoyed every minute of it,joy
i mean fuck i feel like i was way more considerate with customers and concerned about appearance and sanitiation snoozel pm but fine,love
i remember a couple of years ago i was feeling romantic and dreamy and asked him wonder if we ll celebrate our th anniversary,love
im so going to end up feeling slutty and be like ah,love
im just feeling very delicate today,love
i feel like i am meant to partner up be supportive lend a hand or a heart and yet i resent this feeling,love
i feel naughty and dirty sometimes but this gives me certain pleasure so why not,love
i kiss your lips i feel sweet,love
i feel regret for my beloved city,love
i feel completely blessed to be a part of this group,love
i bring this up because i am feeling increasingly nostalgic for a game ive never played,love
im feeling so lousy they tried to cheer me up during school time and during choir practice,sadness
i feel highly disadvantaged,sadness
i feel humiliated to introduce you to my colleagues as my wife,sadness
i feel so worthless during those times i was struggling finding work,sadness
i still miss him and feel rather weepy today,sadness
i feel bad about that but this last years i started to realize no matter how many friends i have or know it doesnt matter im still a loner,sadness
i feel lonely so unbearably crushingly lonely you are not the only one a href http creativeliar,sadness
i feel extremely needy though i dont feel this way too often,sadness
i feel the depths of sorrow and suffering in love because i have felt its heights of joy and goodness,sadness
ive been waiting to get some time alone for quite a few weeks now and when i finally get it im feeling a bit homesick,sadness
im feeling extraordinarily dazed and bewildered this arvo for no particular reason and my muscles all hurt even though i dont actually have any,surprise
i only feel curious impatient eager and confused,surprise
i feel a strange sense of legacy,surprise
i i have all the predictable feelings loki is that guy i know from many many other fandoms im not impressed with me for my loki feelings,surprise
i feel like the hymn says i stand all amazed at the love jesus offers me confused at the grace that so fully he proffers me,surprise
i hope you keep handing out books of mormon to those you feel impressed to give them to,surprise
i don t think anyone feels curious about masala movies they are just light entertainers,surprise
i dont know why but i had started to feel the weird pressure of a largely silent audience and with it a falsely inflated sense of importance in expressing myself and my ever so articulate opinions to said audience,surprise
i managed to take some photos today of my outfit which did feel rather strange especially as i havent taken any for such a long time,surprise
i feel very shocked i have never expected that would happen to me,surprise
